modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-tc-big-ar-en,Helsinki-NLP/opus-mt-tc-big-ar-en,afb ara arz,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-ar-en,Neural machine translation model for translating from Arabic (ar) to English (en).,False
opus-mt-tc-big-ar-gmq,Helsinki-NLP/opus-mt-tc-big-ar-gmq,ara,dan nob swe,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-ar-gmq,Neural machine translation model for translating from Arabic (ar) to North Germanic languages (gmq).,True
opus-mt-tc-big-ar-itc,Helsinki-NLP/opus-mt-tc-big-ar-itc,ara,cat fra glg ita por ron spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-ar-itc,Neural machine translation model for translating from Arabic (ar) to Italic languages (itc).,True
opus-mt-tc-big-bg-en,Helsinki-NLP/opus-mt-tc-big-bg-en,bul,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-bg-en,Neural machine translation model for translating from Bulgarian (bg) to English (en).,False
opus-mt-tc-big-cat_oci_spa-en,Helsinki-NLP/opus-mt-tc-big-cat_oci_spa-en,cat spa,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-cat_oci_spa-en,"Neural machine translation model for translating from Catalan, Occitan and Spanish (cat+oci+spa) to English (en).",False
opus-mt-tc-big-cel-en,Helsinki-NLP/opus-mt-tc-big-cel-en,bre cym gle,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-cel-en,Neural machine translation model for translating from Celtic languages (cel) to English (en).,False
opus-mt-tc-big-ces_slk-en,Helsinki-NLP/opus-mt-tc-big-ces_slk-en,ces,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-ces_slk-en,Neural machine translation model for translating from Czech and Slovak (ces+slk) to English (en).,False
opus-mt-tc-big-de-es,Helsinki-NLP/opus-mt-tc-big-de-es,deu,spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-de-es,Neural machine translation model for translating from German (de) to Spanish (es).,False
opus-mt-tc-big-de-gmq,Helsinki-NLP/opus-mt-tc-big-de-gmq,deu,dan isl nno nob nor swe,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-de-gmq,Neural machine translation model for translating from German (de) to North Germanic languages (gmq).,True
opus-mt-tc-big-de-zle,Helsinki-NLP/opus-mt-tc-big-de-zle,deu,bel rus ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-de-zle,Neural machine translation model for translating from German (de) to East Slavic languages (zle).,True
opus-mt-tc-big-el-en,Helsinki-NLP/opus-mt-tc-big-el-en,ell,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-el-en,Neural machine translation model for translating from Modern Greek (1453-) (el) to English (en).,False
opus-mt-tc-big-en-ar,Helsinki-NLP/opus-mt-tc-big-en-ar,eng,afb ara,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-ar,Neural machine translation model for translating from English (en) to Arabic (ar).,True
opus-mt-tc-big-en-bg,Helsinki-NLP/opus-mt-tc-big-en-bg,eng,bul,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-bg,Neural machine translation model for translating from English (en) to Bulgarian (bg).,False
