modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-tc-base-bat-zle,Helsinki-NLP/opus-mt-tc-base-bat-zle,lav lit,rus,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-bat-zle,Neural machine translation model for translating from Baltic languages (bat) to East Slavic languages (zle).,False
opus-mt-tc-base-ces_slk-uk,Helsinki-NLP/opus-mt-tc-base-ces_slk-uk,ces slk,ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-ces_slk-uk,Neural machine translation model for translating from Czech and Slovak (cs+sk) to Ukrainian (uk).,False
opus-mt-tc-base-en-sh,Helsinki-NLP/opus-mt-tc-base-en-sh,eng,bos_Latn hbs hrv srp_Cyrl srp_Latn,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-en-sh,Neural machine translation model for translating from English (en) to Serbo-Croatian (sh).,True
opus-mt-tc-base-fi-uk,Helsinki-NLP/opus-mt-tc-base-fi-uk,fin,ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-fi-uk,Neural machine translation model for translating from Finnish (fi) to Ukrainian (uk).,False
opus-mt-tc-base-gmw-gmw,Helsinki-NLP/opus-mt-tc-base-gmw-gmw,afr deu eng fry gos hrx ltz nds nld pdc yid,afr deu eng fry nds nld,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-gmw-gmw,Neural machine translation model for translating from West Germanic languages (gmw) to West Germanic languages (gmw).,True
opus-mt-tc-base-hu-uk,Helsinki-NLP/opus-mt-tc-base-hu-uk,hun,ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-hu-uk,Neural machine translation model for translating from Hungarian (hu) to Ukrainian (uk).,False
opus-mt-tc-base-ro-uk,Helsinki-NLP/opus-mt-tc-base-ro-uk,ukr,mol ron,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-ro-uk,Neural machine translation model for translating from Romanian (ro) to Ukrainian (uk).,True
opus-mt-tc-base-tr-uk,Helsinki-NLP/opus-mt-tc-base-tr-uk,tur,ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-tr-uk,Neural machine translation model for translating from Turkish (tr) to Ukrainian (uk).,False
opus-mt-tc-base-uk-ces_slk,Helsinki-NLP/opus-mt-tc-base-uk-ces_slk,ukr,slk ces,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-uk-ces_slk,Neural machine translation model for translating from Ukrainian (uk) to Czech and Slovak (cs+sk).,True
opus-mt-tc-base-uk-fi,Helsinki-NLP/opus-mt-tc-base-uk-fi,ukr,fin,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-uk-fi,Neural machine translation model for translating from Ukrainian (uk) to Finnish (fi).,False
opus-mt-tc-base-uk-hu,Helsinki-NLP/opus-mt-tc-base-uk-hu,ukr,hun,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-uk-hu,Neural machine translation model for translating from Ukrainian (uk) to Hungarian (hu).,False
opus-mt-tc-base-uk-ro,Helsinki-NLP/opus-mt-tc-base-uk-ro,ukr,mol ron,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-uk-ro,Neural machine translation model for translating from Ukrainian (uk) to Romanian (ro).,True
opus-mt-tc-base-uk-tr,Helsinki-NLP/opus-mt-tc-base-uk-tr,ukr,tur,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-uk-tr,Neural machine translation model for translating from Ukrainian (uk) to Turkish (tr).,False
opus-mt-tc-base-zle-bat,Helsinki-NLP/opus-mt-tc-base-zle-bat,rus,lav lit,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-base-zle-bat,Neural machine translation model for translating from East Slavic languages (zle) to Baltic languages (bat).,True
