amh,ara,ben,cmn,deu,eng,fra,hau,heb,hin,ind,ita,jpn,mar,pcm,por,rus,spa,swh,tel,tur,ukr,urd,vie
የፍለጋ ኮድ,رموز البحث,অনুসন্ধান কোড,搜索代码,Suchcodes,Search codes,Codes de recherche,Lambobin Bincike,קודי חיפוש,खोज कोड,Kode pencarian,Codici di ricerca,検索コード,शोध कोड,Find code dem,Códigos de pesquisa,Поисковые коды,Códigos de búsqueda,Inatafuta alama za utafutaji.,శోధన కోడ్ లు ,Arama kodları,Пошук кодів,تلاش کوڈ,Mã tìm kiếm
ምንም,لا شيء,কিছুই,无,Nichts,None,Aucun,Babu,אף אחד.,कोई नहीं,None,Nessuno,ノー,काही नाही,No wahala,Nenhuma,Никаких,Ninguno,Wala,లేని,Hiçbiri,Ніхто,کوئی نہیں,Không có
ርዕሶች,مواضيع,থিম,主题,Themen,Themes,Thèmes,Jigogi,נושאים,विषय-वस्तु,Tema,Temi,テーマ,विषय,Waka,Temas,Темы,Temas,Matendo ya Mitume.,టైమ్స్,Temalar,Теми,موضوعات,Chủ đề
ቋንቋዎች,اللغات,ভাষাসমূহ,语文,Sprachen,Languages,Langues,Harsuna,שפות,भाषाएँ,Bahasa-bahasa,Lingue,語,भाषा,Ogun Ede,Línguas,языков,Idiomas,"Kwa maana, ndani ya lugha ngeni husimamishwa.",థీమ్ లు[మార్చు],Diller,Мови,زبانیں,Ngôn ngữ
የ UI ሁነታ,وضع واجهة المستخدم,UI মোড,用户界面模式,Benutzeroberflächenmodus,UI mode,Mode UI,Yanayin UI,מצב UI,यूआई मोड,Mode UI,Modalità UI,UI モード,UI मोड,UI moda,Modo de interface,Режим интерфейса,Modo de interfaz de usuario,"Ni ya kweli,",UI మోడ్ ,Kullanıcı Arayüzü kipi,Режим користувача,UI موڈ,Chế độ UI
ቀላል,بسيط,সহজ,简单,Einfach,Simple,Simple,Sauƙi,פשוט,सरल,Sederhana,Semplice,シンプルな,साधे,E easy like dat,Simples,Простая,Sencillo,Asemaye hivyo hufyoka kwa umbo la nyama.,సులభ,Basit,Проста,سادہ,Đơn giản
የላቀ,متقدمة,উন্নত,高级,Fortgeschrittene,Advanced,Advanced,Na ci gaba,התקדמות,उन्नत,Maju,Avanzato,進化,प्रगत,Tori wey dem sabi well well,Avançado,Продвинутый,Avanzado,Sijida ya kupendeza.,అడ్వాన్స్ డ్ ,Gelişmiş,Розширений,اعلی درجے کی,Nâng cao
ሞዴሎችን ፍለጋ,نماذج البحث,অনুসন্ধান মডেল,搜索模式,Suche nach Modellen,Search models,Modèles de recherche,Samfuran bincike,מודלים חיפוש,खोज मॉडल,Model Pencarian,Modelli di ricerca,検索モデル,शोध मॉडेल,Find models na,Pesquisar modelos,Поиск моделей,Modelos de búsqueda,Mifano ya watu hawa hujishughulisha na mambo ya Mungu.,మోడల్లు కోసం,Arama modelleri,Пошук моделей,تلاش کے ماڈل,Tìm kiếm mẫu
መጠቀም,استخدام,ব্যবহার,使用,Verwendung,Using,Utilisation,Amfani,שימוש,उपयोग,Menggunakan,Uso,危険,वापरणे,As e dey use,Utilização,Использование,Uso,Tuko.,నిజానికి ఉపయోగించి,Kullanılıyor,Використання,استعمال,Sử dụng
ሞዴል ምረጥ,اختر نموذج,মডেল নির্বাচন করুন,选择模型,Wählen Sie ein Modell,Select a model,Sélectionner un modèle,Zaɓi samfurin,בחר מודל,मॉडल चुनें,Pilih model,Seleziona un modello,モデルを選択,मॉडेल निवडा,Choose one model na,Selecione um modelo,Выберите модель,Seleccionar un modelo,Huyo ndiye aliyejionyesha mwenyewe kuwa mfano.,ఒక మోడల్ కోసం,Bir model seç,Виберіть модель,ایک ماڈل منتخب کریں,Chọn một mô hình
